code,question,option
Q01,Farmer's phone number,
Q02,What is your age? (Enumerator instruction: Do NOT read options; classify response according to the options.),
Q03,What is your gender? (Enumerator instruction: READ all options. Make farmer choose one option only.),
Q06,which crop did you grow during past 3 months?,
Q07,Do they share their phone in their households?,
Q08,Do you have an access to the internet?,
Q09,"When he/she face need advice for their farms, how do they seek the advice and suggestions?",
Q10,Which social media channels are they using day to day ?,
Q11,What time do they use internet?,
Q12,[FACEBOOK & Messenger]  What do they use it for?,
Q13,[FACEBOOK] What are the key challenges for using Facebook?,
Q14,[Confident] [FACEBOOK]  How do they use the Facebook? OR how confident are they using Facebook?,
Q15,What do they use it for?,
Q16,(Youtube ) What are the key challenges for using Tube?,
Q17,How do they use the Youtube? OR how confident are they using Youtube?,
Q18,(Tiktok )What do they use it for?,
Q19,( Tiktok)  What are the key challenges for using Tiktok?,
Q20,[Confident] [Tiktok]  How do they use the Tiktok ? OR how confident are they using Titok?,
Q21,What do they use it for?,
Q22,What are the key challenges for using viber?,
Q23,How do they use the viber ? OR how confident are they using viber?,
Q24,( Others ) What do they use it for?,
Q25,[Others] What are the key challenges for using others ?,
Q26,[Confident] [other]  How do they use the Facebook? OR how confident are they using others?,
Q27,What level of poor connection are they facing?,
Q28,"How many hours in a day did they use social media? (with answer ranges)  """,
Q29,"How much do you spend on a mobile top up per week?""",
Q30,[MOBILE NO] How frequent have they changed their mobile numbers ?,
Q31,Name of the Yetagon products and services have you heard of? (Please select all that apply.),
Q32, Have you ever heard which technique?,
Q33,Which of the following Yetagon products and services have you used ? (Please select all that apply.),
Q34,Have you ever used which technique?,
Q35,Where do you know Po Chat from?,
Q36,Is there any other bio-product brand that you heard of apart from Yetagon?,
Q37,Is there any other bio-product brand that you used of apart from Yetagon?,
Q38,Where do you hear about Yetagon?,
Q39,Have you ever speak with Yetagon's staff about product and services?,
Q40,"On a scale of 0 to 10, how likely are you to recommend Yetagon to a friend or colleague?",
Q41,Why do you choose this NPS score?,
Q26,[Confident] [other]  How do they use the Facebook? OR how confident are they using others?.1,
Q37,Have you ever speak with Yetagon's staff?,
Q06_a,,Rice
Q06_b,,Sesame
Q06_c,,Groundnut
Q06_d,,Pulses
Q06_e,,Vegetables
Q06_f,,Flowers
Q06_g,,Long-term trees
Q06_h,,Chili
Q06_i,,Tomato
Q06_j,,Onion
Q06_k,,Green Gram
Q06_l,,Black Gram
Q06_m,,Chickpea
Q06_n,,other
Q06_other_text,,"If other, please specify."
Q07_a,,Children
Q07_b,,Spouse
Q07_c,,Cousin
Q07_d,,Parents
Q07_e,,Others
Q07_f,,I don't share with anyone
Q07_other_text,,"If other, please specify."
Q09_a,,Asking the friend farmers
Q09_b,,Searching on social media channels
Q09_c,,Input shops
Q09_d,,Calling to Yetagon or Proximity Designs
Q09_e,,Calling to other organisations
Q09_f,,Others
Q09_other_text,,"If other, please specify"
Q10_a,,Facebook
Q10_b,,Youtube
Q10_c,,Titok
Q10_d,,Viber
Q10_e,,Instagram
Q10_f,,Messenger
Q10_g,,Others
Q10_other_text,,"If other, please specify"
Q11_a,,Morning
Q11_b,,Afternoon
Q11_c,,Evening
Q11_d,,Night
Q12_a,,To read the news
Q12_b,,To find information about farming
Q12_c,,To contact with friends and family
Q12_d,,For entertainment
Q12_e,,Other
Q12_other_text,,"If other, please specify"
Q13_a,,too complicated to use
Q13_b,,Poor Internet
Q13_c,,Internet price are so expensive
Q13_d,,Have to change the mobile numbers due to the poor connection
Q13_e,,Others
Q13_other_text,,"If other,please specify."
Q15_a,,To read the news
Q15_b,,To find information about farming
Q15_c,,For entertainment
Q15_d,,Other
Q15_other_text,,"If other, please specify"
Q16_a,,too complicated to use
Q16_b,,Poor Internet
Q16_c,,Internet price are so expensive
Q16_d,,Have to change the mobile numbers due to the poor connection
Q16_e,,Others
