QuestionID,QuestionID_FY25Q3,Question_FY25Q3,QuestionID_FY25Q4,Question_FY25Q4,QuestionID_FY26,Question_FY26
Q01,,,Q01,Q01_Farmer's phone number,Q01,Farmer's phone number
Q01.1,,,Q01.1,Q01.1_Do you have own phone?,Q01.1,Do you have own phone?
Q02,,,Q02,Q02_What is your age? (Enumerator instruction: Do NOT read options; classify response according to the options.),Q02,What is your age? (Enumerator instruction: Do NOT read options; classify response according to the options.)
Q03,,,Q03,Q03_What is your gender? (Enumerator instruction: READ all options. Make farmer choose one option only.),Q03,What is your gender? (Enumerator instruction: READ all options. Make farmer choose one option only.)
Q04,,,Q04,Q04_Region,,
Q06,,,Q06,Q06_which crop did you grow during past 3 months?,Q06,which crop did you grow during past 3 months?
Q07,Q07,Q07_Do they share their phone in their households?,Q07,Q07_Do they share their phone in their households?,Q07,Do they share their phone in their households?
Q08,,,Q08,Q08_Do you have an access to the internet?,Q08,Do you have an access to the internet?
Q09,Q09,Q09_When he,Q09,Q09_When he,Q09,"When he/she face need advice for their farms, how do they seek the advice and suggestions?"
Q10,Q10,Q10_Which social media channels are they using day to day ?,Q10,Q10_Which social media channels are they using day to day ?,Q10,Which social media channels are they using day to day ?
Q11,Q11,Q11_What time do they use internet?,Q11,Q11_What time do they use internet?,Q11,What time do they use internet?
Q12,Q12,Q12_[FACEBOOK & Messenger]  What do they use it for?,Q12,Q12_[FACEBOOK & Messenger]  What do they use it for?,Q12,[FACEBOOK & Messenger]  What do they use it for?
Q13,Q13,Q13_[FACEBOOK] What are the key challenges for using Facebook?,Q13,Q13_[FACEBOOK] What are the key challenges for using Facebook?,Q13,[FACEBOOK] What are the key challenges for using Facebook?
Q14,Q14,Q14_[Confident] [FACEBOOK]  How do they use the Facebook? OR how confident are they using Facebook?,Q14,Q14_[Confident] [FACEBOOK]  How do they use the Facebook? OR how confident are they using Facebook?,Q14,[Confident] [FACEBOOK]  How do they use the Facebook? OR how confident are they using Facebook?
Q15,Q15,Q15_What do they use it for?,Q15,Q15_What do they use it for?,Q15,What do they use it for?
Q16,Q16,Q16_(Youtube ) What are the key challenges for using Tube?,Q16,Q16_(Youtube ) What are the key challenges for using Tube?,Q16,(Youtube ) What are the key challenges for using Tube?
Q17,Q17,Q17_How do they use the Youtube? OR how confident are they using Youtube?,Q17,Q17_How do they use the Youtube? OR how confident are they using Youtube?,Q17,How do they use the Youtube? OR how confident are they using Youtube?
Q18,Q18,Q18_(Tiktok )What do they use it for?,Q18,Q18_(Tiktok )What do they use it for?,Q18,(Tiktok )What do they use it for?
Q19,Q19,Q19_( Tiktok)  What are the key challenges for using Tiktok?,Q19,Q19_( Tiktok)  What are the key challenges for using Tiktok?,Q19,( Tiktok)  What are the key challenges for using Tiktok?
Q20,Q20,Q20_[Confident] [Tiktok]  How do they use the Tiktok ? OR how confident are they using Titok?,Q20,Q20_[Confident] [Tiktok]  How do they use the Tiktok ? OR how confident are they using Titok?,Q20,[Confident] [Tiktok]  How do they use the Tiktok ? OR how confident are they using Titok?
Q21,Q21,Q21_What do they use it for?,Q21,Q21_What do they use it for?,Q21,What do they use it for?
Q22,Q22,Q22_What are the key challenges for using viber?,Q22,Q22_What are the key challenges for using viber?,Q22,What are the key challenges for using viber?
Q23,Q23,Q23_How do they use the viber ? OR how confident are they using viber?,Q23,Q23_How do they use the viber ? OR how confident are they using viber?,Q23,How do they use the viber ? OR how confident are they using viber?
Q24,Q24,Q24_( Others ) What do they use it for?,Q24,Q24_( Others ) What do they use it for?,Q24,( Others ) What do they use it for?
Q25,Q25,Q25_[Others] What are the key challenges for using others ?,Q25,Q25_[Others] What are the key challenges for using others ?,Q25,[Others] What are the key challenges for using others ?
Q26,Q26,Q26_[Confident] [other]  How do they use the Facebook? OR how confident are they using others?,Q26,Q26_[Confident] [other]  How do they use the Facebook? OR how confident are they using others?,Q26,[Confident] [other]  How do they use the Facebook? OR how confident are they using others?
Q27,Q27,Q27_What level of poor connection are they facing?,Q27,Q27_What level of poor connection are they facing?,Q27,What level of poor connection are they facing?
Q28,Q28,"Q28_How many hours in a day did they use social media? (with answer ranges)  """,Q28,"Q28_How many hours in a day did they use social media? (with answer ranges)  """,Q28,"How many hours in a day did they use social media? (with answer ranges)  """
Q29,Q29,"Q29_How much do you spend on a mobile top up per week?""",Q29,"Q29_How much do you spend on a mobile top up per week?""",Q29,"How much do you spend on a mobile top up per week?"""
Q30,Q30,Q30_[MOBILE NO] How frequent have they changed their mobile numbers ?,Q30,Q30_[MOBILE NO] How frequent have they changed their mobile numbers ?,Q30,[MOBILE NO] How frequent have they changed their mobile numbers ?
Q31,Q31,Q31_Which of the following agricultural brands have you heard of (Please select all that apply)?,Q31,Q31_Which of the following agricultural brands have you heard of (Please select all that apply)?,Q31,Name of the Yetagon products and services have you heard of? (Please select all that apply.)
Q32,Q32,Q32_Which of the following Yetagon products and services have you heard of? (Please select all that apply.)?,Q32,Q32_Which of the following Yetagon products and services have you heard of? (Please select all that apply.)?,Q32, Have you ever heard which technique?
Q32.1,,,Q32.1,Q32.1_ Have you ever heard which technique?,,
Q33,Q33,Q33_Which of the following Yetagon products and services have you used ? (Please select all that apply.)?,Q33,Q33_Which of the following Yetagon products and services have you used ? (Please select all that apply.)?,Q33,Which of the following Yetagon products and services have you used ? (Please select all that apply.)
Q33.1,,,Q33.1,Q33.1_Have you ever used which technique?,,
Q34,,,Q34,Q34_Have you ever heard of Po Chat from Yetagon?,Q34,Have you ever used which technique?
Q35,,,,,Q35,Where do you know Po Chat from?
Q36,Q36,Q36_Where do you hear about Yetagon?,Q36,Q36_Where do you hear about Yetagon?,Q36,Is there any other bio-product brand that you heard of apart from Yetagon?
Q37,,,Q37,"Q37_On a scale of 0 to 10, how likely are you to recommend Yetagon to a friend or colleague?",Q37,Is there any other bio-product brand that you used of apart from Yetagon?
Q38,,,Q38,Q38_Why do you choose this NPS score?,Q38,Where do you hear about Yetagon?
Q39,,,,,Q39,Have you ever speak with Yetagon's staff about product and services?
Q40,,,,,Q40,"On a scale of 0 to 10, how likely are you to recommend Yetagon to a friend or colleague?"
Q41,,,,,Q41,Why do you choose this NPS score?
